texto,sentimento,tipoInteracao,autor_anonimo
thaotinhasbfc,NEUTRAL,comentário,11
Repost btgpactual with make_repost  Carteiras recomendadas de Marco no ar   Arraste a tela e confira as recomendacoes da nossa equipe de Research para o mes de Marco  Vale lembrar que os relatorios completos ficam disponiveis em nosso site E so acessar a area de analise e baixar gratuitamente  mercadofinanceiro rendavariavel carteirarecomendada oportunidade prosperidadeinvestimentos,POSITIVE,marcação,12
Semana passada aconteceu a CEO Conference a conferencia sobre economia politica mercado financeiro e tecnologia do btgpactual  Foi incrivel e por isso vale o tbt  Nesses dois dias de evento trouxemos muitas informacoes para nossos clientes e parceiros Abordamos temas importantes como cenario economico conversas com alguns precandidatos a Presidencia da Republica economia verde alta da Selic e selecao de acoes e muito mais  Mais uma vez eu tive o prazer de apresentar alguns paineis e rever colegas alem de conhecer uma parte do time de influenciadores do BTG  Confira todos os paineis do evento na integra atraves do link na bio,POSITIVE,marcação,13
Com o objetivo de democratizar o acesso do investidor brasileiro a fundos que invistam exclusivamente em acoes de companhias estrangeiras a Nextep Investimentos lanca seu fundo Nextep Global Equities PG FIC FIA BDR Nivel I nas principais plataformas do pais para o publico em geral A noticia foi destaque da capa de Financas do jornal valoreconomico  O fundo global da Nextep gestora com mais de duas decadas de experiencia na gestao de ativos globais esta disponivel nas plataformas ativainvestimentos btgpactual neste caso sob demanda mediante solicitacao ao assessor de investimento nectoninvestimentos  e oramainvestimentos Em breve o veiculo tambem estara disponivel no modalmais  A estrategia do produto visa a proporcionar ganhos absolutos de capital em dolar por meio de uma gestao ativa de investimentos buscando empresas globais com solidos modelos de negocio lideradas por executivos comprovadamente competentes e alinhados com os acionistas minoritarios  Para saber mais consulte nosso site httpsbitly3C8y5We  NextepInvestimentos NextepNaMidia AtivosGlobais FundosGlobais Investimentos,POSITIVE,marcação,14
Angelo Alberoni gerente nacional da Betcris e proprietario da betziliancom e presenca confirmada no Sportainment Labs  Vamos abordar o presente futuro e os principais desafios do universos do esporte e entretenimento mundial  Serao aproximadamente 12 horas de conteudos exclusivos comandado pelos top players do mercado  Inscrevase no link da bio    Hubstage SportainmentLabs BicharaeMotta BTGPactual WinTheGame Sportainment Esporte Entretenimento Digital futuro,NEUTRAL,marcação,15
Michael Meltzer confirmou sua presenca no Sportainment Labs primeiro evento gratuito de sportainment da America Latina esta chegando   As principais liderancas mundiais reunidas em um so lugar para fomentar e alavancar o universo do sportainment   Dia 23 de marco das 7h30 as 19h com transmissao online de alta definicao   Corre que ainda da tempo Inscrevase no link da bio    Hubstage SportainmentLabs BicharaeMotta BTGPactual WinTheGame Sportainment Esporte Entretenimento Digital futuro,NEUTRAL,marcação,15
Atencao Esta passando no seu feed uma Agenda de Oportunidades cheia de possibilidades para startups negocios de impacto e empreendedores e empreendedoras Confira a nossa curadoria da semana   The Pitch Is on the Table  Especial Mulheres Empreendedoras  Dia 0803 as 19h   Talk Consciente  O Poder do Proposito significando negocios e trajetorias profissionais  Dia 0803 as 18h   ACE busca empreendedores experientes para cofundar negocios do zero  Inscricoes ate 1003   Programa Somar busca empreendedores Zona Leste de Sao Paulo  Inscricoes ate 1303   Desafix Ciser  Inscricoes ate 1503   Grow Startups  Inscricoes ate 2703   GreenSampa vai acelerar ate 30 startups verdes  Inscricoes ate 3105  Para saber mais sobre cada uma delas acesse kaleydoscombr   Compartilhe essas oportunidades com a sua rede E se voce souber de mais algum evento edital programa indica pra gente adicionar na proxima agenda    negociosdeimpacto impactoambiental empreendedorismofeminino empreendedorismoperiferico afroempreendedorismo KaleydosOficial,NEUTRAL,marcação,16
,NEUTRAL,comentário,17
Vamos ajudar o Brasil na principal categoria de automobilismo do mundo  ambev xpinvestimentos havanoficial bancodobrasil clarobrasi nubank itau santander btgpactual wegelectric,POSITIVE,comentário,18
Com tanta conta digital dando baile nestes bancos pq raios continuam no Itau Hora de dar Adeus Escolha um nubank  c6bank bancointer btgpactual  e seja feliz  Adeus  iitaufoi ruim desde sempre e nunca vai mudar,NEGATIVE,comentário,19
O mes de fevereiro trouxe novos componentes de volatilidade para o mercado principalmente nas questoes geopoliticas  A escalada das tensoes no leste europeu foi um importante fator de direcionamento de fluxo  de capital estrangeiro para o Brasil Com a invasao da Ucrania imaginamos que os mercados globais buscarao direcionar uma maior parcela da sua alocacao de capital para ativos mais seguros flight to quality dado a pouca visibilidade do cenario atual em relacao ao desenrolar do conflito e impacto das sancoes ou outras medidas impostas pelos Estados Unidos e OTAN   Em outra frente a firme postura do FED em relacao a sua politica monetaria motivou uma forte performance dos ativos de valor bancos e commodities por exemplo gerando uma rotacao na alocacao de capital global de ativos expostos ao fator de risco crescimento para ativos expostos ao fator de risco valor  Ou seja o filme de janeiro seguiu firme em fevereiro e o Brasil segue como beneficiado dado sua exposicao a retomada de China estimulos e maior relevancia de setores de valor no Ibovespa   O melhor dado que ilustra o apetite pelo Brasil e o fluxo de entrada de investidores estrangeiros que segue acelerando O numero mais recente aponta entrada de mais de quase R 70 bilhoes na bolsa brasileira   Vale comentar que a temporada de resultados trimestrais segue intensa no Brasil e de forma geral estamos observando uma temporada saudavel o que ajuda a suportar o apetite pelo mercado de acoes,POSITIVE,marcação,20
hericlessisnando o Instagram so deixa publicar 10 imagens por post entao nao conseguiram colacar as de DY Tem que reorganizar o layout e postar uma por imagem fica a dica para a galera do btgpactual,NEUTRAL,resposta,21
Cade a de dividendos,NEGATIVE,comentário,22
repost btgpactual   Carteiras Recomendadas de Marco ja estao ar   Arraste a tela e confira as recomendacoes da Equipe de Research do btgpactual para o mes de Marco  Vale lembrar que os relatorios completos ficam disponiveis no site  httpswwwbtgpactualcom  E so acessar a area de analise e baixar gratuitamente  Legacy Investimentos  BTG Pactual   Ribeirao Preto  Bauru  Sao Jose do Rio Preto   mercadofinanceiro rendavariavel carteirarecomendada,POSITIVE,marcação,23
Estou aqui apenas para mostrar meu apreco a mulher que me levou de zero a heroi  Estou muito feliz por estar entre sua equipe vencedora e sempre mostrarei minha gratidao e trabalharei com voce sempre _marcia_fx,POSITIVE,comentário,24
,NEUTRAL,comentário,25
Publicamos o material de divulgacao do Tarua FIC FIA referente ao mes de fevereiro  Leia o material completo acessando nosso link na bio  Lembramos que o Tarua FIC FIA esta disponivel nas principais plataformas de distribuicao XP Investimentos BTG Pactual Ativa Investimentos Andbank Toro Investimentos Vitreo Banco Modal Warren Brasil MyCAP Investimentos Safra  investimentos TaruaCapital,POSITIVE,marcação,26
Muito feliz com nosso primeiro encontro de empresarios almoco para discutir as perspectivas MacroeconomicasAgronegocios 2022 jccapital_ lifetimeinvestimentos btgpactual hub conexao empresarios economia agro agropecuariabrasil agronegocio brasil  agropecuaria,POSITIVE,marcação,27
Porque ter uma assessora de investimento    1 Gerenciamento de riscos do seu investimento e patrimonio  2 Prepara voce para as constantes mudancas do mercado  3 Atendimento personalizado  4 Melhor administracao do tempo  5 Alcance mais rapido dos objetivos  Portanto com todos estes motivos fica claro o porque apostar em uma assessoria de investimentos e a melhor opcao para aplicar corretamente o seu capital no mercado atual    investimentos financas economia,POSITIVE,marcação,28
Uma das maneiras de fazer mais dinheiro para investir ainda mais e o mercado de milhas aereas Para isso e necessario estrategias e ferramentas que te ajudam a acelerar o processo de acumulo de pontos  Uma das ferramentas que escolhi foi o cartao back do btgpactual  Ele gera mais pontos por dolar gasto e ainda me da acesso a Salas Vips e outros beneficios da bandeira Mastercard  E ai voce tambem utiliza o cartao de credito a seu favor,POSITIVE,marcação,29
Eita que nao existe ninguem pra responder nem no direct uma simples pergunta que pode melhorar ate mesmo pra vcs do Btg Estou fazendo uma pergunta e vcs estao fazendo vistas grossas comigo Eu preciso de uma resposta pois o negocio pode ficar serio,NEGATIVE,comentário,30
Eu mandei pergunta no privado e vcs nao me responde e pelo jeito vou ter que falar tudo por aqui,NEGATIVE,comentário,30
Como alocar  valor nessa nova atualizacao,NEUTRAL,comentário,31
elsonlinss eu recomendo o maior banco de investimentos da America Latina o btgpactual,POSITIVE,comentário,32
Disciplina,NEUTRAL,comentário,33
Quer comecar a investir mas nao sabe como comecar Entao aumente o volume e escute os latidos do Frederico enquanto eu dou 4 dicas praticas e iniciar ainda hoje seus investimentos   Conhece alguem que quer comecar compartilha o video  Ficou com duvida manda sua pergunta que vou te ajudar  investimentos reserva duvida rendafixa btg tesourodireto   onixcapital btgpactual tesourodireto,POSITIVE,marcação,34
gwminvestments e btgpactual muito alinhados,POSITIVE,comentário,35
Na Base btgpactual gwminvestments  daytrader mercadofinanceiro stockmarket btg oficinadotrader dolarfuturo dolarsemsetup oficinadofraja,NEUTRAL,marcação,36
Comecou 2022 Se inscrevam no GrowStartups da blackrocksstartups Voce que tem um negocio tecnologico que esta em pre operacao ou operacao temos um programa de aceleracao dedicado ao seu negocio  Acessem as redes da blackrocksstartups e se inscreveram ate o dia 2703  growstartups blackrocksstartups pormaisnegrasnegros btgpactual tiktokbrasil amazonwebservices,POSITIVE,marcação,37
Did somebody say dessert     catupiry blueberrytart blueberryrecipes catupiryblueberrytart creamcheesetart chefleticia virtualcookingclass onlinecookingclass latincookingclass,NEUTRAL,marcação,38
Um bom projeto so e possivel atraves de muitas parcerias Uma delas se da entre a arquitetura e a comunicacao visual Ao criar conexoes entre ambientes e pessoas estamos ajudando a transformar ideias em realidade Seja atraves de projetos de ambientacao sinalizacao ou aplicacao de marcas o resultado final e a criacao de uma identidade visual para o cliente o brand for space  O bom casamento entre projeto e comunicacao visual traz varios beneficios em busca dos melhores caminhos investigamos o fluxo de circulacao e uso dos ambientes Assim desenvolvemos um sistema para ajudar as pessoas a se encontrarem no espaco  Pensar e criar a quatro maos e o formato ideal para desenharmos uma comunicacao impecavel A harmonia entre as disciplinas se revela nos minimos detalhes e da gosto de ver E como um encaixe perfeito voce percebe que uma peca foi feita para a outra afirma Vitoria Bezerra lider de estrategia na Dea Design  Confira a seguir alguns projetos da PerkinsWill em parceria com a dea_design  1  Albert Einstein MBA marcelodonatelli  2  Machado Meyer Sao Paulo renatonavarrofotografia  3  Banco BMG ricardobassetti  4  BTG Pactual Advisors romulofialdini    PerkinsAndWill PerkinsAndWillSaoPaulo DesignWithPurpose InspiredByPeople design comunicacaovisual designdeinteriores,NEUTRAL,marcação,39
A Alvarez  Marsal estara conosco no Sportainmet Labs primeiro evento do sportainment da America Latina em uma parceria entre btgpactual hubstage bicharaemotta e winthegame_of   Participe Evento online e gratuito  23 de marco Inscrevase no link na bio      Hubstage SportainmentLabs BicharaeMotta BTGPactual WinTheGame Sportainment Esporte Entretenimento Digital futuro,NEUTRAL,marcação,15
Qual horario especial de quarta,NEUTRAL,comentário,40
Ricardo Fort fundador da Sport By Fort Consulting e presenca confirmada no Sportainment Labs  Vamos abordar o presente futuro e os principais desafios do universos do esporte e entretenimento mundial  Serao aproximadamente 12 horas de conteudos exclusivos comandado pelos top players do mercado  Inscricoes no link da bio    Hubstage SportainmentLabs BicharaeMotta BtgPactual WinTheGame Sportainment Esporte Entretenimento futuro,NEUTRAL,marcação,2
Ainda nao garantiu sua vaga Corre que ainda da tempo  O Sportainment Labs primeiro evento gratuito de sportainment da America Latina esta chegando  Marcelo Frazao estara entre as principais liderancas mundiais reunidas em um so lugar para fomentar e alavancar o universo do sportainment  Dia 23 de marco das 7h30min as 19h com transmissao online de alta definicao  Inscrevase no link da bio    Hubstage SportainmentLabs BicharaeMotta BtgPactual WinTheGame Sportainment Esporte Entretenimento futuro,NEUTRAL,marcação,2
Video novo no canal do btgpactual   Link no stories,POSITIVE,marcação,41
As incricoes para o Grow Startups 3 ja comecaram e se voce ainda nao se inscreveu vem que ainda esta em tempo  E visando facilitar o acesso de pessoas negras ao ecossistema brasileiro de startups contamos com uma rede de parceiros e apoiadores como btg_pactual tiktokbrasil e a amazonwebservices   O programa e gratuito prepara e disponibiliza ferramentas para o aperfeicoamento do seu negocio   Link de inscricoes na BIO  blackrocks blackrocksstartups inovacao startups programadeaceleracao pormaisnegrasenegros aceleracao tecnologia blackintech blackstartups empreendedorismo,POSITIVE,marcação,42
btgpactual cade meu informe no app,NEUTRAL,comentário,43
Gosto demais do BTG banco de confianca e sempre inovando,POSITIVE,comentário,44
COMPET passa aqui hoje para convidar voces a participarem da edicao especial do BTG faz Tech realizado apenas por mulheres Nesse evento serao apresentados a equipe e cases internos liderados pelas tech women  Entao fica marcado Dia 0803 dia Internacional das Mulheres  Contamos com a sua presenca    btgfaztech btgbtgpactual techwomen tecnologia DiaInternacionaldasMulheres,POSITIVE,marcação,45
COMPET passa aqui hoje para convidar voces a participarem da edicao especial do BTG faz Tech realizado apenas por mulheres Nesse evento serao apresentados a equipe e cases internos liderados pelas tech women  Entao fica marcado Dia 0803 dia Internacional das Mulheres  Contamos com a sua presenca    btgfaztech btgbtgpactual techwomen tecnologia DiaInternacionaldasMulheres,POSITIVE,marcação,45
Voce conhece o BCFF11   O BCFF11 e um fundo de fundos que tem como objetivo principal a aquisicao de cotas de outros Fundos de Investimento Imobiliario bem como Certificados de Recebiveis Imobiliarios CRI Letras Hipotecarias LH e Letras de Credito Imobiliario LCI  Ele e o FOF que mais rentabilizou desde o IPO na media anual se considerarmos o reinvestimento de dividendos  E um FII que ta na carteira do lucaspit e do thiagonigro   Seu retorno medio anual desde o IPO RMA foi de 65 aa considerando o reinvestimento de dividendos  Apesar de ser o FOF que mais trouxe retorno total na media o seu retorno esta abaixo do retorno do IFIX do periodo  Tem alguma duvida sobre o fundo Pergunta ai para gente  diversifiicando bcff bcff11 btg btgpactual fiisdepapel fof fundosdefundos fiis fundosimobiliarios 1milhaoemfiis investir financaspessoas otimistaoficial comunidadedootimista rendaextra investir bolsadevalores primorico lucaspit pitmoney dividendos rendimentos juroscompostos,NEGATIVE,marcação,46
btgpactual,NEUTRAL,comentário,32
VITRAL DOS MARES _Av Beira Mar no 2190_ Apto 400   543m2  4 Suites com closet e varanda  Suites para o nascente  Estar intimo   Ampla sala integrada a varanda  6 vagas de garagem  Duas dependencias de servico  Dois elevadores sociais  Vagas para visitantes  Acesso pelas duas vias Av Beira Mar e Rua Jose Vilar  _Valor do imovel_  R 1200000000  _Valor do condominio_  R 440000    Andre Fonteles  085999020195  carlinhosmaiaof  caiocastro versace versaillesbrasil geraldo_monteiro_25 btgpactual mentorebank vandersonmbaquino gustavosousacorretor btg_pactual juliette robertoljustus    business businesswoman businessman bussiness negocios negocio forbes forbesbr fitness fashion fitnessmotivation familia famosos cash casamento cashondelivery dolar euro bancocentral lifestyle instagram interiordesign predio vistamar altopadrao altopadrao artigosdeluxo imoveis imoveisdeluxo imoveisaltopadrao,NEUTRAL,marcação,47
VITRAL DOS MARES _Av Beira Mar no 2190_ Apto 400   543m2  4 Suites com closet e varanda  Suites para o nascente  Estar intimo   Ampla sala integrada a varanda  6 vagas de garagem  Duas dependencias de servico  Dois elevadores sociais  Vagas para visitantes  Acesso pelas duas vias Av Beira Mar e Rua Jose Vilar  _Valor do imovel_  R 1200000000  _Valor do condominio_  R 440000    Andre Fonteles  085999020195  carlinhosmaiaof versace versaillesbrasil btgpactual mentorebank btg_pactual juliette robertoljustus    business businesswoman businessman bussiness negocios negocio forbes forbesbr fitness fashion fitnessmotivation familia bc brasil casamento cashondelivery dolar euro bancocentral lifestyle instagrambrasil interiordesign predio vistamar altopadrao altopadrao sp imoveis imoveisdeluxo imoveisaltopadrao,NEUTRAL,marcação,47
Mais uma conquista para celebrarmos e agradecermos   Somos o terceiro escritorio do BTG Pactual com melhor performance em 2021   O premio Best Performer e resultado de toda a dedicacao da nossa Familia Prosperidade e claro da confianca de nossos clientes  Seguimos comprometidos em buscar as melhores estrategias de investimentos para os clientes e proporcionar aos socios um ambiente de felicidade e crescimento profissional   Parabens Familia Que venham os proximos reconhecimentos   Repost prosperidadeinvestimentos  prosperidadeinvestimentos btgpactual btgpactualdigital bestperformer mercadofinanceiro mercadodeinvestimentos investimentos saopaulo investimento investimentosinteligentes invistamelhor rendadixa rendavariavel  private privatebank CFP mercadodecapitais acoes saojosedoriopreto riopretosp,POSITIVE,marcação,48
Personalidade incrivel com grandes qualidades de lideranca Lelitunse Eu acreditei nas maos dela e o sucesso a seguiu  Inicialmente depositei 4000 e em alguns dias recebi 40400  Sua credibilidade nao pode ser esquecida,POSITIVE,comentário,49
Triste demais,POSITIVE,comentário,50
Rodolfo Medina presidente executivo do Grupo Dreamers e mais uma presenca confirmada no Sportainment Labs primeiro evento de sportainment da America Latina   O que voce esta esperando para se inscrever   Serao aproximadamente 12 horas de conteudos exclusivos com os top players do mercado   O futuro do entretenimento esportivo e aqui e agora   Are you ready    Garanta sua vaga no link da bio    Hubstage SportainmentLabs BicharaeMotta BtgPactual WinTheGame Sportainment Esporte Entretenimento,NEUTRAL,marcação,2
btgpactual poderiam ajudar Obrigada,NEUTRAL,comentário,51
Compartilho a dica de filme do Andre Esteves do btgpactual no CEO Conference 2022  Assisti e adorei  Perfeito para entender a historia antes da 2a Guerra Mundial e os conflitos atuais  Gosta deste tipo de filme   ceoconference2022 vivifinancas,NEUTRAL,marcação,52
Feriado cancelado mesmo assim bovegas fechada Q povo trabalhador,NEGATIVE,comentário,53
Juliana Avezum associada no Bichara e Motta Advogados e head do Setor de Audiovisual Propriedade Intelectual e Esportes Eletronicos e presenca confirmada no Sportainment Labs   Vamos abordar o presente futuro e os principais desafios do universos do esporte e entretenimento mundial   Serao aproximadamente 12 horas de conteudos exclusivos comandado pelos top players dos mercados nacional e internacional    Inscricoes no link da bio   Hubstage SportainmentLabs BicharaeMotta BtgPactual WinTheGame Sportainment Esporte Entretenimento,NEUTRAL,marcação,2
Fernanda Lobao e presenca confirmada no Sportainment Labs   Vamos abordar o presente futuro e os principais desafios do universos do esporte e entretenimento mundial   Serao aproximadamente 12 horas de conteudos exclusivos compartilhados pelos maiores profissionais dos mercados nacional e internacional   Faca sua inscricao link na bio     Hubstage SportainmentLabs BicharaeMotta BTGPactual WinTheGame Sportainment Esporte Entretenimento Digital,NEUTRAL,marcação,2
Nos ultimos dias recebemos muitas perguntas sobre o Grow Startups e por isso decidimos chamar nossa Head de Operacoes Elisabeth Rocha beetthrocha para responder as que mais apareceram por aqui  Da um play e vem saber mais sobre o nosso programa de aceleracao e nao esqueca de curtir comentar e compartilhar  Link de inscricoes na BIO  blackrocks blackrocksstartups inovacao startups programadeaceleracao pormaisnegrasenegros aceleracao tecnologia blackintech blackstartups empreendedorismo,NEUTRAL,marcação,42
Provavelmente voce investe em algum fundo imobiliario gerido por eles,POSITIVE,resposta,54
E que eles criaram uma pagina so para investidores,NEGATIVE,resposta,54
Estou recebendo emails de voces de boasvindas e informe de rendimentos mas nunca abri uma conta Como consigo verificar essa situacao,NEGATIVE,comentário,55
Vcs nao respondem no direct Mds,NEUTRAL,comentário,56
Informacoes corretas da credibilidade tem ter cuidado,NEGATIVE,comentário,57
Agora sim as informacoes estao corretas,POSITIVE,comentário,44
Agora sim o estagiario sarou da ressaca,NEGATIVE,comentário,58
Fonte Andre Esteves dono da exame e btgpactual que ja foi preso na lava jato com o larapio de 9 dedos,NEGATIVE,comentário,59
Voces se dizem expertsmas nem sabem o funcionamento da B3,NEGATIVE,comentário,60
btgpactual informacoes errada,NEUTRAL,comentário,57
Nao consigo acessar  BTG pelo portale agora btgpactual,NEGATIVE,comentário,61
Deveria funcionar Carnaval nunca foi feriado,NEGATIVE,comentário,62
a retirada de hoje foi tao grande investir com voce realmente mudou minha vida esta semana a retirada foi de  100000 obrigado pelo bom trabalho mistywelsh_financefx,POSITIVE,comentário,63
btgpactual hoje opera,NEUTRAL,comentário,64
btgpactual na quarta nao e a partir das 13h,NEUTRAL,comentário,65
Errrrou hahahahahhaha,NEGATIVE,comentário,66
28 e 01 nao tem operacoes dia 02 apartir das 13h,NEGATIVE,comentário,66
Pensar e planejar tempos longos nao e facil Mas se imagine daqui a 30 anos  O que quer que voce imaginou vai requerer dinheiro e para te ajudar a fazer esse planejamento as previdencias complementares sao sim um bom investimento  A Previdencia Privada e uma modalidade de investimento para objetivos de longo prazo Ela visa garantir ao beneficiario uma renda futura Tambem conhecida como Previdencia complementar e baseada em aportes frequentes e usufruto Fonte site da btgpactual  Como escolher a previdencia complementar e outra grande duvida e vou falar dela na quarta  Me siga curta marque os amigos e comente para receber nossos posts  previdenciacomplementar previdenciaprivada aposentadoria planosparaofuturo,POSITIVE,marcação,67
Retifiquem a informacao quarta feira havera operacoes sim a partir das 13h,POSITIVE,comentário,44
btgpactual e hoje,NEUTRAL,comentário,68
Quarta dia 02 abre a partir das 13h,NEUTRAL,comentário,69
Look at this BTG team   btgpactual,NEUTRAL,marcação,70
Look at this BTG team   btgpactual,NEUTRAL,marcação,70
,NEUTRAL,comentário,71
Eu disse que os Rothschild so foram os Rothschild porque eu nasci depois  Nos MFs destacado recentemente na capa de um video do btgpactual no YouTube voce nao evita os riscos  e eu concluo afirmando que voce gerencia os riscos aproveitando o mercado e as suas flutuacoes O gustavocerbasi participou do video recomendo que voces assistam  eu ainda nao o fiz mas a recomendacao sempre e valida  Dito isso o Ellon Musk prestando socorro a Ucrania lhe faz algo benefico  o mercado sabe disso e os civis elogiam com certo fundamento  porem considerada a iminente entrada dos EUA em um conflito de ordem global promovido pela Russia e tendo sido ela a possivel responsavel pelo isolamento da Ucrania esse socorro coloca um alvo nas costas da Tesla permitindo estimar que em uma ofensiva russa aos EUA a Tesla TSLA34 seja um alvo considerado pela interferencia na situacao  Eu comentei ha pouco que as pessoas que criticam milionarios e bilionarios sao pessoas que nao querem subir e preferem ficar reclamando das condicoes sociais e criticando um  coloco dessa forma  estilo de vida que nao se dispoe a alcancar Em seguida pensei sobre o assunto enquanto fazia a minha barba e considerei esses fatores como um risco a ser lido avaliado e gerenciado pelos investidores sobre uma companhia que  pelo desenvolvimento do mercado atual e da crescente elevacao do numero de debates e acoes sobre sustentabilidade  tem um potencial elevado para se sustentar e ser p,POSITIVE,marcação,72
cecilioandrade,NEUTRAL,resposta,73
Melhor banco de todos os bancos digitais  uso e nao me arrependo boto meu dinheiro la com muita confianca so de nao cobra taxa de saques ja e otimo,POSITIVE,comentário,74
arlindocorreia,NEUTRAL,resposta,75
cecilioandrade,NEUTRAL,resposta,73
Nova edicao da revista CRCNews ja esta no ar,POSITIVE,marcação,76
O negocio e btgpactual  Abre conta pelo link da minha bio que o assessor esta pronto pra te auxiliar,POSITIVE,comentário,77
Vao aumentar a taxa de corretagem Recebi um email avisando,POSITIVE,comentário,78
