dataPublicada,autor_anonimo,texto,sentimento,tipoInteracao
2022-08-31 09:38:00,1753,"Olá. Pensem, por favor, numa melhora dos aplicativos. É muito complicado 3 aplicativos para quem é cliente. (Sem contar +1 da PJ). Por que não unir o app investimento e conta em um só? Deixando apenas o Trader separado. Além disso, eu ainda fico perdido nessa layout que os app de vocês possuem. É uma confusão tremenda. 😪😓😓",NEGATIVE,comentário
2022-08-31 08:48:00,3226,🙌🙌,NEUTRAL,comentário
2022-08-31 11:27:00,1193,Obrigada família profittoinvestimentos pelo reconhecimento. Muito feliz em estar escrevendo esta história junto com vocês. Gigante!!!  #quemtemtimetemtudo  btgpactual,POSITIVE,marcação
2022-08-31 11:55:00,3330,🙌,NEUTRAL,comentário
2022-08-31 11:55:00,3412,"Renda Variável também está na pauta do Independência Sacre, um evento online e gratuito com especialistas da Sacre e do btgpactual.  Inscreva-se para acompanhar um bate papo entre o Head de Renda Variável da Sacre, gdgasperi, e o analista de Equity Research do BTG Pactual, Vitor de Melo.  Faça sua inscrição no link da bio!  É na semana da Independência do Brasil! Acompanhe toda a programação nas redes sociais da Sacre.  #independenciasacre #valorsacre #sacreinvestimentos #btgpactual #investimentos #mercadofinanceiro #rendavariavel",POSITIVE,marcação
2022-08-31 11:55:00,1640,"Renda Variável também está na pauta do Independência Sacre, um evento online e gratuito com especialistas da Sacre e do btgpactual.  Inscreva-se para acompanhar um bate papo entre o Head de Renda Variável da Sacre, gdgasperi, e o analista de Equity Research do BTG Pactual, Vitor de Melo.  Faça sua inscrição no link da bio!  É na semana da Independência do Brasil! Acompanhe toda a programação nas redes sociais da Sacre.  #independenciasacre #valorsacre #sacreinvestimentos #btgpactual #investimentos #mercadofinanceiro #rendavariavel",POSITIVE,marcação
2022-08-31 11:55:00,936,"Renda Variável também está na pauta do Independência Sacre, um evento online e gratuito com especialistas da Sacre e do btgpactual.  Inscreva-se para acompanhar um bate papo entre o Head de Renda Variável da Sacre, gdgasperi, e o analista de Equity Research do BTG Pactual, Vitor de Melo.  Faça sua inscrição no link da bio!  É na semana da Independência do Brasil! Acompanhe toda a programação nas redes sociais da Sacre.  #independenciasacre #valorsacre #sacreinvestimentos #btgpactual #investimentos #mercadofinanceiro #rendavariavel",POSITIVE,marcação
2022-08-31 11:55:00,932,"Renda Variável também está na pauta do Independência Sacre, um evento online e gratuito com especialistas da Sacre e do btgpactual.  Inscreva-se para acompanhar um bate papo entre o Head de Renda Variável da Sacre, gdgasperi, e o analista de Equity Research do BTG Pactual, Vitor de Melo.  Faça sua inscrição no link da bio!  É na semana da Independência do Brasil! Acompanhe toda a programação nas redes sociais da Sacre.  #independenciasacre #valorsacre #sacreinvestimentos #btgpactual #investimentos #mercadofinanceiro #rendavariavel",POSITIVE,marcação
2022-08-31 11:55:00,1641,"Renda Variável também está na pauta do Independência Sacre, um evento online e gratuito com especialistas da Sacre e do btgpactual.  Inscreva-se para acompanhar um bate papo entre o Head de Renda Variável da Sacre, gdgasperi, e o analista de Equity Research do BTG Pactual, Vitor de Melo.  Faça sua inscrição no link da bio!  É na semana da Independência do Brasil! Acompanhe toda a programação nas redes sociais da Sacre.  #independenciasacre #valorsacre #sacreinvestimentos #btgpactual #investimentos #mercadofinanceiro #rendavariavel",POSITIVE,marcação
2022-08-31 11:55:00,1250,"Renda Variável também está na pauta do Independência Sacre, um evento online e gratuito com especialistas da Sacre e do btgpactual.  Inscreva-se para acompanhar um bate papo entre o Head de Renda Variável da Sacre, gdgasperi, e o analista de Equity Research do BTG Pactual, Vitor de Melo.  Faça sua inscrição no link da bio!  É na semana da Independência do Brasil! Acompanhe toda a programação nas redes sociais da Sacre.  #independenciasacre #valorsacre #sacreinvestimentos #btgpactual #investimentos #mercadofinanceiro #rendavariavel",POSITIVE,marcação
2022-08-31 11:55:00,931,"Renda Variável também está na pauta do Independência Sacre, um evento online e gratuito com especialistas da Sacre e do btgpactual.  Inscreva-se para acompanhar um bate papo entre o Head de Renda Variável da Sacre, gdgasperi, e o analista de Equity Research do BTG Pactual, Vitor de Melo.  Faça sua inscrição no link da bio!  É na semana da Independência do Brasil! Acompanhe toda a programação nas redes sociais da Sacre.  #independenciasacre #valorsacre #sacreinvestimentos #btgpactual #investimentos #mercadofinanceiro #rendavariavel",POSITIVE,marcação
2022-08-31 11:55:00,711,"Renda Variável também está na pauta do Independência Sacre, um evento online e gratuito com especialistas da Sacre e do btgpactual.  Inscreva-se para acompanhar um bate papo entre o Head de Renda Variável da Sacre, gdgasperi, e o analista de Equity Research do BTG Pactual, Vitor de Melo.  Faça sua inscrição no link da bio!  É na semana da Independência do Brasil! Acompanhe toda a programação nas redes sociais da Sacre.  #independenciasacre #valorsacre #sacreinvestimentos #btgpactual #investimentos #mercadofinanceiro #rendavariavel",POSITIVE,marcação
2022-08-31 12:12:00,3303,"@btgpactual já me chamaram no DM, já falei no chat antes, e não adiantou nada. Obrigado!",NEUTRAL,resposta
2022-08-31 12:04:00,697,"Em um dos últimos painéis do Macro Day 2022, Mansueto Almeida - Economista-chefe do BTG Pactual, analisa o cenário econômico e enxerga um panorama de crescimento pela frente.  🖥 www.amgcapital.com.br 📧 E-mail: contato@amgcapital.com.br  Credenciados a btgpactual  ☎ Telefones: São Paulo (11) 3077 4600 Porto Alegre (51) 3557 1880 Florianópolis (48) 3371 4611  ‼ DISCLAIMER: Este post é de caráter informativo e não constitui uma oferta de compra ou de venda de ativos financeiros.  #AMGCapital #btgpactual #Investimentos #Ações #FIIs #TesouroDireto #LCI #LCA #CDB #ETFs #Debêntures #IR #economia #ibovespa #educaçãofinanceira",NEUTRAL,marcação
2022-08-31 12:02:00,306,"Sei que as dúvidas e questionamentos ao iniciar a trajetória de investimentos são muitas.  Até mesmo investidores experientes tem momentos de dúvidas e inseguranças, contar com um profissional que personaliza seu portfólio de acordo com o seu perfil, momento de vida e objetivos pode fazer toda a diferença 👨‍💻  Nosso trabalho é acompanhar nosso cliente nessa jornada fornecendo a expertise necessária para cuidar do patrimônio.   Entre em contato e encontre a assessoria ideal para o seu perfil e seus investimentos 📊  Seja +MAIS!⠀ .⠀ #maisinvestimentos #MaisAAI #btgpactual #investimentos #saudefinanceira #AAI #AgenteAutonomo",POSITIVE,marcação
2022-08-31 13:50:00,4133,A Hashlar é o primeiro gateway de pagamentos com criptoativos do mercado imobiliário. Seu cliente escolhe como paga e você escolhe como recebe!  #mercadoimobiliario #cripto #criptoativos #construção #incorporadora #empreendimentoimobiliario #criptomoedas #nft #imóveis #fundoimobiliário #bitcoin #etherium #financas #proptech #lançamento #fintech #economia #ww3 #financiamentoimobiliario #dinheiro #bitcoinbrasil #ethereumbrasil,POSITIVE,marcação
2022-08-31 14:21:00,4134,Dia lindo e rede toda pronta para o treino de Beach Tennis na Escola Guga BT Monte Líbano.  Venha agendar sua aula experimental. Aulas de segunda à sábado a partir de 7h da manhã.  #beachtennis #escolaguga #escolagugamontelibano #montelibano #guga #beachtennisrj #beachtennisrio #beachtennisbrasil #leblon #shoppingleblon #bodylaser #orthopride #escolapopeye #csaleblon #csaleblon_rj #xpinvestimentos #btgpactual #proshop,POSITIVE,marcação
2022-08-31 15:05:00,782,👏,NEUTRAL,comentário
2022-08-31 16:32:00,4135,Parabéns! Amamos vocês! E que lugar hein! @btgpactual,POSITIVE,comentário
2022-08-31 16:19:00,4136,"""De um lado, uma educadora financeira: Mirna Borges, criadora do canal EconoMirna, nas redes desde 2016. De outro, Mary Vivian, que decidiu cuidar de perto do próprio dinheiro depois de passar por um problema de saúde – e de perceber a importância de criar uma reserva de emergência.  No meio delas, Victoria Giroto, à frente do perfil InvistaComoUmaGarota. """"Investir Pode Ser Simples"""" é o nome do primeiro episódio da nova temporada de podcasts do projeto #MoneyStories.  Ouça completo na sua plataforma de streaming preferida! #publicidade""",POSITIVE,marcação
2022-08-31 16:50:00,4137,O atendimento é muito difícil e precário! Estou tentando falar com um consultor de investimento mas é uma tarefa impossível,POSITIVE,comentário
2022-08-31 17:08:00,4138,Estivemos hoje no BTG Asset Managers Day! Nosso sócio Sérgio Blank participou do painel sobre fundos sistemáticos.  Agradecemos a todos os presentes e ao btgpactual  pelo convite.  #kadima #fundosdeinvestimento #mercadofinanceiro #investimento #quant #quantitativefinance #investimentoquantitativo,POSITIVE,marcação
2022-08-31 17:41:00,4139,btgpactual,NEUTRAL,marcação
2022-08-31 18:17:00,376,"Investir em #PrevidênciaPrivada proporciona diversas vantagens para o #investidor. É necessário que você as analise e reflita sobre o que busca para se beneficiar dos diferenciais do produto:  🔸 Benefícios fiscais Como é possível escolher entre #PGBL e #VGBL, o investidor minimiza o impacto dos tributos sobre o #investimento. Quem opta pelo formulário completo de IR, por exemplo, deduz seus aportes do tributo com o PGBL. Já quem faz declaração simples aproveita mais do VGBL.Também é possível optar entre tributação progressiva ou a regressiva de IR o que permite chegar em 10% imposto em 10 anos, a menor nos investimentos tributados.  🔸 #Economia Quem investe em #FundosdeInvestimento não previdenciários deve arcar com come-cotas, uma antecipação do IR que é cobrada semestralmente em fundos de investimentos não previdenciários. Ele não existe na Previdência Privada, trazendo uma impactante economia para esse tipo de investimento.  🔸 Maior Flexibilidade A Previdência Privada também se torna ideal para #investidores que desejam seguir o cenário econômico e alterar seus #investimentos para obterem o maior retorno, na portabilidade é possível mudar o fundo de instituição ou de gestor sem pagar imposto, por sua característica de longo prazo é muito benéfico não ter esse impacto.  Os benefícios da Previdência Privada tornam esse investimento ideal para quem deseja estabilidade e qualidade de vida no futuro. Importante lembrar que é fundamental que o investidor estude minuciosamente ca",POSITIVE,marcação
2022-08-31 19:32:00,4140,"""No dia 15/08, Belisa Maggi, Presidente da FALM, participou do primeiro evento e jantar anual “Encontro com Propósito"""", ao lado do CEO do btgpactual, Roberto Sallouti.    Em parceria, a cactus_ong e o institutoponte_ organizaram o evento e levaram o tema focal discutindo sobre ESG e educação, onde reuniram investidores, pessoas executivas e representantes de empresas de diferentes segmentos, além de estudantes impactados pelo trabalho das organizações sociais.   No vídeo, Belisa conta mais detalhes desse encontro. 💚  Para ler o conteúdo na íntegra, clique na bio.   Descrição do vídeo: Capa com arte de fundo colorido, a logo de 25 anos da FALM à esquerda, o texto “Jantar com Propósito” e a foto de Belisa Maggi, Presidente da FALM. Ela é uma mulher branca de cabelos loiros na altura dos ombros, está sentada em uma cadeira e sorri com um microfone na mão direita. Belisa usa uma camisa branca, saia e botas de canos longos até os joelhos. O vídeo mostra fotos do evento, que mudam conforme a fala da Belisa. As legendas estão inseridas em balões de diálogo com fundo preto e fontes amarelas.  #impactosocial #educação #terceirosetor #isp #investimentosocial #falm""",NEUTRAL,marcação
2022-08-31 19:49:00,4141,PARABÉNS STF,NEGATIVE,comentário
2022-08-31 19:47:00,4142,"Plataformas de negociação de nubank, xpinvestimentos e BTGPactual são boas portas de entrada para investidores que buscam fazer sua iniciação no mercado de criptomoedas. #nubank #xp #xpinvestimentos #btg #btgpactual",POSITIVE,marcação
2022-08-31 20:54:00,4143,—— menthor.investimentos #Repost btgpactual. Não esqueça dos feriados desse mês na hora de planejar suas atividades!,NEUTRAL,marcação
2022-08-31 21:09:00,2187,Hoje foi dia de reunião e de conhecer a sede do btgpactual,POSITIVE,marcação
2022-08-31 21:04:00,176,💙,NEUTRAL,comentário
2022-08-31 21:39:00,4144,Meu pai está impossibilitado de movimentar sua conta por causa de um erro interno que tornou a conta investimento dele uma conta câmbio e com assessoria de terceiros não autorizada. Uma semana brigando para poder investir ou transferir o $ em conta. Absurdo tirar dele o acesso ao seu dinheiro que eh um valor considerável. Desrespeito e irregularidade. Após inúmeras tentativas de resolução estou abrindo reclamação junto ao Banco Central e tomando as medidas judiciais cabíveis!,NEGATIVE,comentário
2022-08-31 21:49:00,4145,"""Quando uma das reuniões de negócios que teríamos em SP foi marcada em uma das salas da sede do btgpactual , logo imaginamos que iríamos encontrar um ambiente estilo black box.  Mas nos enganamos pois o que vimos ali dentro foi um ambiente leve, conectado , espaços que inspiram inovação e pessoas descontraídas.  Segunda-feira dia 29 conhecemos por dentro toda a estrutura da sede do maior banco de investimentos da América Latina, passamos por salas de operações e atendimento, estúdios, conhecemos o espaço destinado para o projeto mynt.crypto e vimos de perto o tão famoso trading floor onde operações bilionárias são executadas.  Passamos por trás do lucascostaat e se meus olhos não falharam, vi que ele estava comprado em índice e comentei com o ottogsparenberg """"Putz Costinha comprado pra DT e a gente vendido pra carrego"""" tirei o celular do bolso e já vi que estava passando calor 😅  ottogsparenberg obrigado por nos recepcionar irmão, entre as coisas boas desse dia,  foi uma satisfação conhecer esse cara alto astral que você sempre demonstrou ser. 🤝  Não é só sobre mercado, também é sobre pessoas.  Só o conhecimento liberta 🗝  #mercadofinanceiro  #economia  #mercadodeacoes""",POSITIVE,marcação
2022-08-31 21:47:00,4144,"Meu pai está impossibilitado de movimentar sua conta investimento graças a um erro interno do BTG. Tornaram a conta investimento uma conta de câmbio com assessoria de terceiros não autorizada. Estamos a uma semana tentando resolver está situação e ninguém está fazendo por onde para que possamos ter acesso ao $ dele. Valor considerável! Desrespeito e irregularidade! Após inúmeras tentativas com SAC, estamos abrindo reclamação junto ao Banco Central e tomando as medidas judiciais cabíveis.",NEGATIVE,comentário
2022-08-31 21:45:00,4144,"Meu pai está impossibilitado de investir ou movimentar sua conta investimento graças a um erro interno do BTG. Tornaram a conta investimento uma conta de câmbio com assessoria de terceiros não autorizada. Estamos a uma semana tentando resolver está situação e ninguém está fazendo por onde para que possamos ter acesso ao $ dele. Valor considerável! Desrespeito e irregularidade! Após inúmeras tentativas com SAC, estamos abrindo reclamação junto ao Banco Central e tomando as medidas judiciais cabíveis.",NEGATIVE,comentário
2022-08-31 22:06:00,4144,https://www.reclameaqui.com.br/btg-pactual/falha-do-btg-bloqueou-todo-o-dinheiro-migrado-para-o-banco_iqWm0q38Ur_rCdVv/,NEUTRAL,comentário
2022-08-31 22:37:00,2477,"""Depois que me formei na Marinha e fiz meu primeiro embarque num Petroleiro, lembro até hoje o dia que caiu meu primeiro """"Bom salário"""". Logo pensei """"Vou me aposentar nisso aqui"""".  Estava enganado, alguns anos depois já estava saturado da rotina e descobri que nem tudo é por dinheiro.  Descobri que a vida passa muito rápido, e que devemos trabalhar com o que Gostamos... Eu sempre gostei de investimentos e até já sonhei em trabalhar em uma Corretora um dia.  Como eu disse, a vida passa muito rápido, e passou...   Num piscar de olhos estou dentro do maior escritório de assessoria do País, construindo uma Corretora com uma Equipe sensacional.  Vamos disputar com os Big Players em breve...🚀 eqiinvestimentos btgpactual""",POSITIVE,marcação
2022-08-31 23:55:00,4129,"Primeiro episódio da playlist Expert do Web3Cast foi lançado! 🤘👻  jwalenkamp e eusoulaio conversam com reirabeloficial, CEO do mercadobitcoin e anportilho, Head de Digital Assets do btgpactual, sobre o mercado de tokenização! 🚀  Neste bate papo foram abordados os projetos pioneiros liderados pelo Mercado Bitcoin e pelo BTG, a evolução desse nicho e exemplos práticos da tecnologia blockchain na Economia Real.  Confira os episódios das duas playlists em nosso canal! Link na bio 📲  #web3cast #web3 #almadao #tokenização",POSITIVE,marcação
2022-09-01 00:17:00,4146,Tinha esse cartão a um bom tempo abaixou meu limite de 2mil pra 100 do nada kkk,NEGATIVE,comentário
2022-09-01 00:47:00,4147,Vocês vão divulgar a carteira recomendada do mês de setembro aqui?,NEUTRAL,comentário
2022-09-01 01:37:00,4148,Todo Trader já pensou “como é operar dentro de um banco?” Ou “Como ser um Trader Institucional operando milhões ou talvez Bilhões 🤑”  Eu visitei o btgpactual e fiz um vídeo mostrando tudo sobre o banco! E tirando dúvidas que todo Trader sempre quis saber!  O vídeo completo sai amanhã no meu canal!   #investimento #investidor #bolsadevalores #traderbrasil #farialima,NEUTRAL,marcação
2022-09-01 07:56:00,520,"Que aula de vida e coragem!  tamaraklink provou como cativar uma plateia de 70 pessoas do mercado financeiro, falando sobre brilho no olhar, família, coragem e muita, muita resiliência.  Grande oportunidade que tivemos de aprender com ela.  #btgbestperformer #btg btgpactual cordierinvestimentos",POSITIVE,marcação
2022-09-01 08:20:00,696,"Oportunidades, evolução do mercado e muita troca de experiências marcaram o Asset Managers Day no btgpactual.  Estar ao lado de gestores de casas como perfinasset, kapitalo_investimentos, clave, kadimaasset, entre outras, possibilitou a interação de visões e estratégias abalizadas, essencial para este momento repleto de ambiguidades.  Agradecimento especial a todo time da Asset do btgpactual, e às gestoras Kawa e Signal pelos meetings.",POSITIVE,marcação
2022-09-01 08:45:00,1801,@btgpactual É nóixx 😂😂👍,NEUTRAL,comentário
2022-09-01 09:38:00,4126,"Olha ai, vocês podem nos ajudar e vice-versa! @btgpactual @xpinvestimentos @thiago.nigro @arturgmonteiro 🙌👏❤️",POSITIVE,comentário
2022-09-01 09:53:00,4149,"Ontem foi um dia super rico em conhecimento. Representando a renovainvest , participei do Asset Manangers Day, que aconteceu no btgpactual , reunindo os gestores das assets mais importantes do país, para falarem os seus pontos de vista sobre o mercado, em painéis macroeconômicos, de infraestrutura, falaram sobre a sistemática de fundos quantitativos, composições das carteiras dos principais fundos e o racional de por trás .  Informações absorvidas com sucesso ✔️  #revovainvest #btgpactual",POSITIVE,marcação
2022-09-01 09:47:00,4150,"@lucasalvesnto Olá Lucas, posso te ajudar",NEUTRAL,resposta
2022-09-01 10:10:00,358,"É neste domingo! Venha se encantar com um espetáculo com muita música e coreografias — é o Coral Heliópolis que se apresenta no próximo dia 4, às 11h, no masp! Os ingressos vão de R$ 20 a R$ 10 (meia-entrada), e já estão a venda! Corra e garanta o seu: o link está na bio!  Sob regência de Silmara Drezza e Daniel Reginato, o Coral Heliópolis interpreta um repertório variado com clássicos da música brasileira — do erudito ao popular, de Dorival Caymmi a Emicida.  O Coral Heliópolis te espera!  Agradecemos aos nossos patrocinadores e parceiros que apoiam as atividades artístico-pedagógicas por meio da Lei Federal de Incentivo à Cultura:  Patrocínio Master: unileverbrasil  Patrocínio Ouro: somosvotorantim, b3_oficial  Patrocínio Prata: grupoccroficial kineainvestimentos, bancobv, pfizer.brasil e Pró-Vida  Patrocínio Bronze: bradesco, carrefourbrasil, Ultra, astraoficialbr, Novelis, emsfarmaceutica, ibiunainvestimentos, furnasenergia, btgpactual, edpbrasil e alelobrasil  #InstitutoBaccarelli #CoralHeliópolis #Masp #Concerto #Canto #Música #Dança #Educação #CoralInfantoJuvenil #CoralJuvenil #InfantoJuvenil #Juvenil",NEUTRAL,marcação
2022-09-01 10:08:00,111,Recebendo o amigo e um dos maiores empresários renato_nobre para o início de uma jornada de muito treino #tenis #tenniscoach #tennisplayer #treino #tenisrj #rioopen #jardimpernambuco #leblon #ademicon #xpinvestimentos #btgpactual #shoppingleblon #orthopride #bodylaser #proshop #nike #rayban #vitamind #endorfina #cbtoficial #itftennis #aulasdetenis #fitness #lacoste #trackandfieldrio #decathlon #decathlonbrasil,NEUTRAL,marcação
2022-09-01 10:31:00,422,Ontem a nossa assessora marinasteixeira esteve presente no evento Asset Managers Day do btgpactual.   Um rico bate-papo com as principais assets do mercado. Um ótimo momento para falarmos de cenário e fundos!  #btgpactual,POSITIVE,marcação
2022-09-01 10:23:00,695,"Prazer imenso poder aprender com uma referência que me inspira diariamente!   Só quem conhece a cultura do banco entende como aqueles que estão no topo sabem liderar pelo exemplo. Um dos pontos mais importantes para um líder obter sucesso é ser admirado pelos seus liderados, e aqui no btgpactual somos diariamente inspirados pela tomada de decisão dos nossos líderes.   Obrigado, robertosallouti! Quero ser igual a você quando eu crescer!",POSITIVE,marcação
2022-09-01 11:04:00,1295,Tenha autonomia com os seus clientes. Seja um assessor de investimentos na Delfos Investimentos. btgpactual,POSITIVE,marcação
2022-09-01 11:57:00,159,"Está disponível o Relatório de Desempenho do Charles River FIA referente ao mês de Agosto de 2022.  No mês de Agosto, o fundo teve retorno de 11,3% contra 6,2% do Ibovespa, com retorno acumulado total de 780,4% desde a fundação (07.11.2011) contra 85,0% do Ibovespa no mesmo período.  Clique no link da bio para acessar o relatório completo.  #CharlesRiverCapital #CharlesRiverFIA #fundodeações #fundos #fundosdeinvestimentos #fundosdeinvestimento #investimentos #investimento #ações #rendavariavel",NEUTRAL,marcação
2022-09-01 11:55:00,4151,Ganhei $ 7.500 com @chloe._.crypto,POSITIVE,comentário
2022-09-01 11:55:00,697,🖥 www.amgcapital.com.br 📧 E-mail: contato@amgcapital.com.br  Credenciados a btgpactual  ☎ Telefones: São Paulo (11) 3077 4600 Porto Alegre (51) 3557 1880 Florianópolis (48) 3371 4611  ‼ DISCLAIMER: Este post é de caráter informativo e não constitui uma oferta de compra ou de venda de ativos financeiros.  #AMGCapital #btgpactual #Investimentos #Ações #FIIs #TesouroDireto #LCI #LCA #CDB #ETFs #Debêntures #IR #economia #ibovespa #educaçãofinanceira,NEUTRAL,marcação
2022-09-01 11:51:00,4152,👏👏,NEUTRAL,comentário
2022-09-01 12:05:00,4153,"O mês do nosso evento iniciou!  No dia 15/09 vamos amplificar as “Vozes das Periferias” em Nova York. Este é o nosso primeiro evento e estamos ansiosos para mostrar as transformações sociais que nossas famílias, crianças, jovens e adultos tem tido acesso com o seu apoio.  Nesta noite, dia 15/09, vamos arrecadar fundos para apoiar o desenvolvimento cultural, esportivo e profissional nas favelas da Vila Prudente e Jardim Sinhá.  Ansiosos também? 📣💙  Aos nossos padrinhos e madrinhas, e também nossos apoiadores united uber_br ambev escolamobile btgpactual hcampospr akmperformma e tamojunto.ag   #EHVOZES",NEUTRAL,marcação
2022-09-01 12:02:00,1465,"Estamos em contagem regressiva para a Copa Sabemi, o 2º evento hípico que compõe o Grand Slam SHB. As inscrições vão até terça-feira, dia 06/09. Lembrando que o cavaleiro que tiver a melhor pontuação ao final do 84º Aniversário da SHB levará um VW Nivus para casa. Nada mal, hein!   As vagas são limitadas e estão esgotando. Não perca!  Copa Sabemi: 14 a 18 de setembro  #copasabemi #horse #jumping #grandslam #shb",POSITIVE,marcação
2022-09-01 12:02:00,4154,"""Na última sexta-feira, tive o prazer de participar do excelente evento """"Future is now"""", idealizado e organizado pela minha querida amiga _laismacedo, presidente do lidefuturo, o qual trouxe uma série de insights relevantes sobre tendências disruptivas, transformações do mercado, os desafios do empreendedorismo no Brasil, além de pautas extremamente significativas como o futuro do consumo, sustentabilidade e ESG.  Contando com a participação de lideranças de diversas empresas de destaque do país como esteelauderbrasil, bmwdobrasil, theledoficial, btgpactual, danonebrasil, amilsaude_, ciadetalentos, rihappy, kpmgbrasil, spacesbrasil nespresso, ayoo.future e de grandes redes e canais de comunicação como o linkedin  e cnnbrasil, o evento foi uma ótima oportunidade para estreitar o networking com amigos, colegas e outras lideranças, bem como, de aprofundar e buscar novos conhecimentos sobre inovação e futuro.  Dentre os highlights, destaco a ótima apresentação do queridissimo luizcandreva, futurista e head de inovação da ayoo.future, que comentou, por exemplo, sobre a importância de não enxergarmos o futuro com os olhos do passado e que os profissionais do amanhã terão, cada vez mais, de ampliar uma multiplicidade de skills para lidar com cenários complexos.   Outro ponto alto foi a palestra do jornalista e amigo ivan_more, que abordou o conceito de desobediência produtiva, reforçando os pilares de confiança em nossas equipes, coragem e olhar perceptivo para o mundo que nos cerca.""",NEUTRAL,marcação
